Designator,Mid X,Mid Y,Rotation,Layer
C3,73.25,-65.5,180.0,bottom
C4,73.25,-79.0,180.0,bottom
D1,78.81,-71.0,0.0,bottom
D2,78.81,-75.0,0.0,bottom
D3,86.225,-157.0,0.0,top
D4,86.225,-153.0,0.0,top
D5,73.725,-50.0,0.0,top
D6,86.225,-149.0,0.0,top
D7,86.225,-161.0,0.0,top
J1,83.875,-112.5,90.0,bottom
J2,83.875,-37.5,90.0,bottom
Q2,82.41,-144.72,0.0,bottom
Q3,82.45,-159.86,0.0,bottom
Q4,82.45,-154.86,0.0,bottom
Q5,82.41,-149.72,0.0,bottom
R1,85.42,-97.0,180.0,bottom
R19,80.16,-62.0,0.0,bottom
R2,85.42,-93.5,180.0,bottom
R22,66.88,-99.6,0.0,bottom
R24,95.58,-135.5,0.0,bottom
R25,95.58,-142.5,0.0,bottom
R26,95.58,-139.0,0.0,bottom
R27,95.58,-146.0,0.0,bottom
R3,66.88,-103.1,0.0,bottom
R4,66.88,-106.6,0.0,bottom
R5,95.58,-100.5,0.0,bottom
R6,95.58,-104.0,0.0,bottom
R7,66.88,-89.1,0.0,bottom
R8,66.88,-92.6,0.0,bottom
R9,66.88,-96.1,0.0,bottom
RV1,62.5,-125.0,90.0,top
RV2,87.5,-125.0,90.0,top
RV3,87.5,-50.0,90.0,top
RV4,62.5,-50.0,90.0,top
RV5,62.5,-75.0,90.0,top
RV6,87.5,-75.0,90.0,top
SW1,75.0,-100.0,0.0,top
