Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Radial_D6.3mm_P2.50mm,2,10u,
"C12, C14, C5, C6, C7, C8",C_Disc_D3.0mm_W1.6mm_P2.50mm,6,100n,
C13,C_Disc_D3.0mm_W1.6mm_P2.50mm,1,680p,
C9,C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,1.5u,
"D11, D12, D14, D16, D17, D19, D20, D21, D22, D8, D9",D_DO-35_SOD27_P7.62mm_Horizontal,11,1N4148,
"FB1, FB2",FB_Axial_L5.0mm_D3.6mm_P10.00mm,2,FerriteBead,
J1,Power_Header,1,Synth_power_2x5_passive,
J4,Jack_6.35mm_PJ_629HAN_slots,1,SideIn,
J5,Jack_6.35mm_PJ_629HAN_slots,1,AudioOut,
J6,Jack_6.35mm_PJ_629HAN_slots,1,AudioIn,
"J7, J8",PinSocket_1x08_P2.54mm_Vertical,2,Conn_01x08_Pin,
Q1,TO-92_Inline_Wide,1,2N3904,
"R10, R11, R13, R15, R17, R28, R29, R30, R34, R35, R36",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,11,100k,
"R12, R18",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,1k,
"R14, R16",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,470k,
"R20, R31, R38",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,10k,
R21,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,20k,
R23,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,2k,
U1,DIP-14_W7.62mm_Socket_LongPads,1,TL074,
"U2, U3",DIP-8_W7.62mm_Socket_LongPads,2,TL072,
