Designator,Mid X,Mid Y,Rotation,Layer
C1,82.9824,-126.94,0.0,bottom
C12,71.35,-85.5,180.0,bottom
C13,84.85,-63.8,0.0,bottom
C14,76.45,-99.8,180.0,bottom
C2,82.9824,-134.54,0.0,bottom
C5,81.6,-56.25,180.0,bottom
C6,65.2,-56.6,180.0,bottom
C7,71.45,-69.1,180.0,bottom
C8,76.3,-83.2,180.0,bottom
C9,87.3,-109.0,180.0,bottom
D11,91.31,-96.2187,0.0,bottom
D12,91.31,-104.2,0.0,bottom
D14,65.81,-100.1944,0.0,bottom
D16,58.19,-96.4167,180.0,bottom
D17,65.81,-92.6389,0.0,bottom
D19,58.19,-88.8611,180.0,bottom
D20,57.69,-64.0,180.0,bottom
D21,65.81,-85.0833,0.0,bottom
D22,65.31,-61.0,0.0,bottom
D8,58.19,-103.9722,180.0,bottom
D9,83.69,-100.0,180.0,bottom
FB1,84.6,-119.94,0.0,bottom
FB2,84.6,-140.94,0.0,bottom
J1,89.66,-135.7,180.0,bottom
J4,62.5,-150.0,0.0,top
J5,87.5,-175.0,0.0,top
J6,62.5,-175.0,0.0,top
J7,83.875,-37.475,270.0,top
J8,83.875,-112.525,270.0,top
Q1,87.54,-44.36,0.0,bottom
R10,57.42,-49.1667,180.0,bottom
R11,67.58,-45.5,0.0,bottom
R12,67.58,-119.0,0.0,bottom
R13,92.58,-51.0,0.0,bottom
R14,67.58,-52.8333,0.0,bottom
R15,67.58,-127.5,0.0,bottom
R16,82.42,-59.5,180.0,bottom
R17,67.58,-41.8333,0.0,bottom
R18,67.58,-123.5,0.0,bottom
R20,82.42,-68.45,180.0,bottom
R21,67.08,-72.5,0.0,bottom
R23,80.08,-105.5,0.0,bottom
R28,92.58,-91.975,0.0,bottom
R29,92.58,-75.45,0.0,bottom
R30,92.58,-71.95,0.0,bottom
R31,92.58,-78.95,0.0,bottom
R34,56.92,-76.7778,180.0,bottom
R35,67.08,-108.0,0.0,bottom
R36,67.08,-81.0556,0.0,bottom
R38,92.58,-88.5,0.0,bottom
U1,78.8,-48.375,0.0,bottom
U2,78.8,-72.5,0.0,bottom
U3,78.8,-88.8,0.0,bottom
